fold,ticker_a,ticker_b,hedge_ratio,direction,entry_date,exit_date,entry_zscore,exit_zscore,gross_pnl,cost,net_pnl
1,XLP,XLU,1.210902,short,2019-11-07,2019-11-13,2.1729,0.1876,50.54,10.0,40.54
2,XLP,XLU,1.203217,long,2020-01-23,2020-02-11,-2.0751,-0.1369,222.22,10.0,212.22
2,XLP,XLU,1.203217,short,2020-02-28,2020-03-06,3.1784,-0.3288,312.98,10.0,302.98
2,XLP,XLU,1.203217,short,2020-03-10,2020-03-12,2.8736,4.8374,-23.36,10.0,-33.36
2,XLP,XLU,1.203217,short,2020-03-18,2020-03-19,3.3788,5.34,0.0,10.0,-10.0
3,XLP,XLU,1.23016,long,2020-03-25,2020-03-26,-2.3281,-4.7156,-0.0,10.0,-10.0
3,XLP,XLU,1.23016,long,2020-03-30,2020-04-03,-3.2983,4.3747,582.19,10.0,572.19
3,XLP,XLU,1.23016,long,2020-04-08,2020-04-09,-2.9122,-4.7692,-0.0,10.0,-10.0
4,XLP,XLU,1.240047,short,2020-06-19,2020-06-29,2.4529,0.381,198.53,10.0,188.53
5,XLP,XLU,1.231495,long,2020-10-06,2020-10-12,-2.2203,-0.4348,159.68,10.0,149.68
10,XLP,XLU,1.234698,long,2022-02-28,2022-03-07,-2.0894,-4.1948,-91.16,10.0,-101.16
10,XLP,XLU,1.234698,long,2022-03-08,2022-03-15,-3.4729,-0.2759,277.57,10.0,267.57
11,XLP,XLU,1.213505,long,2022-05-20,2022-05-26,-2.7997,-0.2864,199.75,10.0,189.75
11,XLP,XLU,1.213505,short,2022-06-13,2022-06-17,3.002,2.2049,87.36,10.0,77.36
12,XLP,XLU,1.206826,short,2022-06-21,2022-06-22,1.7806,0.4417,-0.0,10.0,-10.0
12,XLP,XLU,1.206826,long,2022-07-29,2022-08-16,-2.4593,-0.0676,192.35,10.0,182.35
13,XLP,XLU,1.222869,short,2022-09-26,2022-10-04,2.2786,-0.159,185.51,10.0,175.51
13,XLP,XLU,1.222869,short,2022-10-06,2022-10-12,2.4592,4.3476,42.29,10.0,32.29
13,XLP,XLU,1.222869,short,2022-10-13,2022-10-17,2.2655,0.2578,77.13,10.0,67.13
16,XLP,XLU,1.244063,short,2023-08-03,2023-08-09,2.3064,0.3035,200.63,10.0,190.63
17,XLP,XLU,1.24739,short,2023-09-27,2023-10-02,2.2044,4.9046,-1.06,10.0,-11.06
17,XLP,XLU,1.24739,short,2023-10-03,2023-10-17,2.1762,-0.3351,381.24,10.0,371.24
18,XLP,XLU,1.255632,short,2024-01-17,2024-01-25,2.0138,0.1161,83.19,10.0,73.19
18,XLP,XLU,1.255632,short,2024-02-05,2024-02-09,2.0078,-0.0747,101.44,10.0,91.44
20,XLP,XLU,1.222038,long,2024-07-11,2024-07-15,-2.0731,0.2843,37.72,10.0,27.72
20,XLP,XLU,1.222038,long,2024-08-01,2024-08-05,-2.0867,0.0572,118.82,10.0,108.82
21,XLP,XLU,1.197221,short,2024-11-04,2024-11-06,2.0619,0.2686,150.23,10.0,140.23
1,XLP,XLV,0.889215,long,2019-10-15,2019-10-18,-2.9364,-0.3539,97.52,10.0,87.52
1,XLP,XLV,0.889215,long,2019-10-29,2019-11-05,-2.2407,0.1342,57.7,10.0,47.7
2,XLP,XLV,0.8807,short,2020-03-18,2020-03-19,3.0201,0.3122,-0.0,10.0,-10.0
3,XLP,XLV,0.870996,long,2020-03-20,2020-03-23,-3.1836,-0.3206,-0.0,10.0,-10.0
3,XLP,XLV,0.870996,long,2020-03-25,2020-03-27,-2.702,0.0981,38.2,10.0,28.2
3,XLP,XLV,0.870996,long,2020-04-08,2020-04-29,-2.2455,-0.201,221.57,10.0,211.57
4,XLP,XLV,0.873595,short,2020-07-10,2020-07-14,2.1566,0.1933,90.64,10.0,80.64
6,XLP,XLV,0.868955,long,2021-01-07,2021-01-25,-2.7142,0.1196,133.15,10.0,123.15
7,XLP,XLV,0.872088,long,2021-06-10,2021-06-14,-2.0046,-0.4879,87.06,10.0,77.06
9,XLP,XLV,0.864005,short,2021-11-05,2021-11-08,2.2244,-0.0086,0.0,10.0,-10.0
9,XLP,XLV,0.864005,short,2021-12-06,2021-12-07,2.0448,0.3215,0.0,10.0,-10.0
10,XLP,XLV,0.87377,short,2022-01-04,2022-01-12,2.8646,-0.4523,238.05,10.0,228.05
10,XLP,XLV,0.87377,short,2022-02-17,2022-02-23,2.2828,0.1199,84.38,10.0,74.38
10,XLP,XLV,0.87377,long,2022-02-24,2022-03-03,-2.1545,-0.1328,78.19,10.0,68.19
10,XLP,XLV,0.87377,long,2022-03-10,2022-03-15,-2.1449,-0.2548,51.96,10.0,41.96
11,XLP,XLV,0.874706,short,2022-04-22,2022-04-29,2.7493,0.1225,103.83,10.0,93.83
11,XLP,XLV,0.874706,short,2022-05-09,2022-05-10,2.4709,0.4667,0.0,10.0,-10.0
11,XLP,XLV,0.874706,long,2022-05-17,2022-05-18,-2.0676,-5.7791,-0.0,10.0,-10.0
12,XLP,XLV,0.874601,long,2022-09-08,2022-09-19,-2.02,0.7672,168.32,10.0,158.32
13,XLP,XLV,0.869038,long,2022-09-20,2022-09-21,0.9692,1.7139,0.0,10.0,-10.0
14,XLP,XLV,0.871829,long,2023-01-19,2023-01-26,-2.0965,-0.1425,163.55,10.0,153.55
15,XLP,XLV,0.877398,long,2023-05-22,2023-05-25,-2.0791,-0.2973,80.29,10.0,70.29
17,XLP,XLV,0.864339,long,2023-10-05,2023-10-13,-2.5029,-0.1558,95.1,10.0,85.1
21,XLP,XLV,0.877194,short,2024-11-14,2024-11-21,2.1909,0.0681,151.4,10.0,141.4
2,XLB,XLV,0.717774,long,2020-02-25,2020-03-04,-2.3761,0.4325,197.24,10.0,187.24
2,XLB,XLV,0.717774,long,2020-03-06,2020-03-09,-2.7628,-6.9403,-0.0,10.0,-10.0
2,XLB,XLV,0.717774,long,2020-03-10,2020-03-11,-2.987,-3.6873,0.0,10.0,-10.0
2,XLB,XLV,0.717774,long,2020-03-13,2020-03-16,-2.1579,-4.9501,0.0,10.0,-10.0
3,XLB,XLV,0.695675,short,2020-03-26,2020-03-27,2.4349,-0.0298,-0.0,10.0,-10.0
3,XLB,XLV,0.695675,long,2020-04-03,2020-04-08,-2.2505,3.5545,481.12,10.0,471.12
3,XLB,XLV,0.695675,short,2020-04-13,2020-04-17,2.0708,-0.1423,469.43,10.0,459.43
3,XLB,XLV,0.695675,short,2020-04-28,2020-04-30,3.2854,0.4495,-24.06,10.0,-34.06
3,XLB,XLV,0.695675,short,2020-05-18,2020-05-22,2.5794,0.4971,144.84,10.0,134.84
3,XLB,XLV,0.695675,short,2020-05-26,2020-05-29,2.2263,0.1594,110.11,10.0,100.11
3,XLB,XLV,0.695675,short,2020-06-03,2020-06-10,2.6045,-0.3184,199.72,10.0,189.72
3,XLB,XLV,0.695675,long,2020-06-11,2020-06-15,-2.7529,0.0904,192.65,10.0,182.65
5,XLB,XLV,0.741124,long,2020-11-04,2020-11-11,-2.3577,0.0862,378.48,10.0,368.48
5,XLB,XLV,0.741124,short,2020-11-24,2020-11-27,2.1629,0.425,124.42,10.0,114.42
6,XLB,XLV,0.75358,short,2021-01-06,2021-01-08,2.5537,0.3423,104.16,10.0,94.16
7,XLB,XLV,0.770297,long,2021-06-10,2021-06-18,-2.0969,-2.1776,-9.93,10.0,-19.93
8,XLB,XLV,0.757229,long,2021-06-21,2021-06-22,-0.5955,-0.2189,0.0,10.0,-10.0
8,XLB,XLV,0.757229,short,2021-08-11,2021-08-13,2.2502,0.2789,125.73,10.0,115.73
11,XLB,XLV,0.762065,long,2022-06-13,2022-06-17,-2.3372,-1.8052,45.48,10.0,35.48
12,XLB,XLV,0.742292,long,2022-06-21,2022-06-23,-1.4775,-3.6712,-95.63,10.0,-105.63
12,XLB,XLV,0.742292,long,2022-09-01,2022-09-08,-2.4112,0.1408,268.01,10.0,258.01
12,XLB,XLV,0.742292,long,2022-09-16,2022-09-19,-2.1264,0.0937,-0.0,10.0,-10.0
13,XLB,XLV,0.739194,long,2022-09-23,2022-09-28,-2.2822,0.0652,117.05,10.0,107.05
13,XLB,XLV,0.739194,short,2022-10-04,2022-10-05,2.1402,0.3869,0.0,10.0,-10.0
13,XLB,XLV,0.739194,short,2022-11-04,2022-11-16,2.1098,0.0204,91.03,10.0,81.03
14,XLB,XLV,0.753414,short,2023-01-09,2023-01-17,2.4483,0.2641,115.65,10.0,105.65
14,XLB,XLV,0.753414,long,2023-03-13,2023-03-20,-2.3432,-0.0753,90.22,10.0,80.22
18,XLB,XLV,0.754455,long,2024-02-05,2024-02-07,-2.1731,0.0114,130.78,10.0,120.78
