fold,ticker_a,ticker_b,hedge_ratio,direction,entry_date,exit_date,entry_zscore,exit_zscore,gross_pnl,cost,net_pnl
1,XLP,XLU,1.210902,short,2019-11-07,2019-11-13,2.1729,0.1876,50.54,10.0,40.54
2,XLP,XLU,1.203217,long,2020-01-23,2020-01-31,-2.0751,-1.3192,69.68,10.0,59.68
2,XLP,XLU,1.203217,long,2020-02-03,2020-02-11,-1.2427,-0.1369,160.56,10.0,150.56
2,XLP,XLU,1.203217,short,2020-02-28,2020-03-02,3.1784,0.8634,0.0,10.0,-10.0
3,XLP,XLU,1.23016,long,2020-03-25,2020-03-26,-2.3281,-4.7156,-0.0,10.0,-10.0
4,XLP,XLU,1.240047,short,2020-06-19,2020-06-24,2.4529,0.6392,142.13,10.0,132.13
4,XLP,XLU,1.240047,short,2020-06-25,2020-06-26,1.7686,0.8635,0.0,10.0,-10.0
5,XLP,XLU,1.231495,long,2020-10-06,2020-10-07,-2.2203,-1.4114,-0.0,10.0,-10.0
5,XLP,XLU,1.231495,long,2020-10-08,2020-10-12,-1.9239,-0.4348,124.62,10.0,114.62
10,XLP,XLU,1.234698,long,2022-02-28,2022-03-02,-2.0894,-1.1205,101.35,10.0,91.35
10,XLP,XLU,1.234698,long,2022-03-03,2022-03-07,-1.6683,-4.1948,-136.84,10.0,-146.84
10,XLP,XLU,1.234698,long,2022-03-08,2022-03-09,-3.4729,-1.4867,0.0,10.0,-10.0
10,XLP,XLU,1.234698,long,2022-03-10,2022-03-15,-2.1595,-0.2759,130.99,10.0,120.99
11,XLP,XLU,1.213505,long,2022-05-20,2022-05-23,-2.7997,-1.597,0.0,10.0,-10.0
11,XLP,XLU,1.213505,long,2022-05-24,2022-05-26,-1.5883,-0.2864,62.05,10.0,52.05
11,XLP,XLU,1.213505,short,2022-06-14,2022-06-16,3.3334,2.4027,157.32,10.0,147.32
11,XLP,XLU,1.213505,short,2022-06-17,2022-06-17,2.2049,2.2049,-0.0,10.0,-10.0
12,XLP,XLU,1.206826,long,2022-07-29,2022-08-10,-2.4593,-0.7916,131.28,10.0,121.28
12,XLP,XLU,1.206826,long,2022-08-11,2022-08-16,-0.6853,-0.0676,-11.85,10.0,-21.85
13,XLP,XLU,1.222869,short,2022-09-26,2022-09-28,2.2786,1.2386,53.8,10.0,43.8
13,XLP,XLU,1.222869,short,2022-10-06,2022-10-07,2.4592,2.403,0.0,10.0,-10.0
13,XLP,XLU,1.222869,short,2022-10-10,2022-10-12,1.8176,4.3476,-31.0,10.0,-41.0
16,XLP,XLU,1.244063,short,2023-08-03,2023-08-09,2.3064,0.3035,200.63,10.0,190.63
17,XLP,XLU,1.24739,short,2023-09-27,2023-10-02,2.2044,4.9046,-1.06,10.0,-11.06
17,XLP,XLU,1.24739,short,2023-10-03,2023-10-17,2.1762,-0.3351,381.24,10.0,371.24
18,XLP,XLU,1.255632,short,2024-01-17,2024-01-25,2.0138,0.1161,83.19,10.0,73.19
18,XLP,XLU,1.255632,short,2024-02-05,2024-02-09,2.0078,-0.0747,101.44,10.0,91.44
20,XLP,XLU,1.222038,long,2024-07-11,2024-07-15,-2.0731,0.2843,37.72,10.0,27.72
20,XLP,XLU,1.222038,long,2024-08-01,2024-08-02,-2.0867,-1.0411,-0.0,10.0,-10.0
21,XLP,XLU,1.197221,short,2024-11-04,2024-11-06,2.0619,0.2686,150.23,10.0,140.23
1,XLP,XLV,0.889215,long,2019-10-15,2019-10-18,-2.9364,-0.3539,97.52,10.0,87.52
1,XLP,XLV,0.889215,long,2019-10-29,2019-11-05,-2.2407,0.1342,57.7,10.0,47.7
3,XLP,XLV,0.870996,long,2020-03-25,2020-03-26,-2.702,-2.0862,-0.0,10.0,-10.0
3,XLP,XLV,0.870996,long,2020-04-13,2020-04-14,-0.6259,0.8842,0.0,10.0,-10.0
3,XLP,XLV,0.870996,long,2020-04-16,2020-04-17,-1.6262,-1.329,-0.0,10.0,-10.0
3,XLP,XLV,0.870996,long,2020-04-23,2020-04-29,-1.9383,-0.201,204.28,10.0,194.28
4,XLP,XLV,0.873595,short,2020-07-10,2020-07-14,2.1566,0.1933,90.64,10.0,80.64
6,XLP,XLV,0.868955,long,2021-01-07,2021-01-25,-2.7142,0.1196,133.15,10.0,123.15
7,XLP,XLV,0.872088,long,2021-06-10,2021-06-14,-2.0046,-0.4879,87.06,10.0,77.06
9,XLP,XLV,0.864005,short,2021-11-05,2021-11-08,2.2244,-0.0086,0.0,10.0,-10.0
9,XLP,XLV,0.864005,short,2021-12-06,2021-12-07,2.0448,0.3215,0.0,10.0,-10.0
