fold,ticker_a,ticker_b,hedge_ratio,direction,entry_date,exit_date,entry_zscore,exit_zscore,gross_pnl,cost,net_pnl
0,XLP,XLU,0.680363,short,2019-07-23,2019-09-18,2.2265,0.8196,292.5,10.0,282.5
1,XLP,XLU,0.836474,short,2019-09-19,2019-09-20,-0.5596,-0.8527,-0.0,10.0,-10.0
2,XLP,XLU,0.971666,long,2020-01-24,2020-02-18,-2.3262,-3.6214,-97.39,10.0,-107.39
2,XLP,XLU,0.971666,long,2020-02-19,2020-02-24,-3.0457,-3.7175,8.19,10.0,-1.81
2,XLP,XLU,0.971666,long,2020-02-26,2020-03-19,-3.3148,3.8095,934.08,10.0,924.08
3,XLP,XLU,0.736874,short,2020-04-03,2020-04-13,3.1206,0.044,695.47,10.0,685.47
3,XLP,XLU,0.736874,short,2020-04-16,2020-06-03,2.0959,0.334,230.16,10.0,220.16
3,XLP,XLU,0.736874,short,2020-06-18,2020-06-18,2.056,2.056,0.0,10.0,-10.0
4,XLP,XLU,0.606767,short,2020-06-19,2020-07-27,2.1627,3.8316,-152.01,10.0,-162.01
4,XLP,XLU,0.606767,short,2020-07-29,2020-08-03,3.4204,3.5384,19.55,10.0,9.55
5,XLP,XLU,0.545583,short,2020-09-18,2020-10-28,2.0364,0.4923,425.64,10.0,415.64
5,XLP,XLU,0.545583,short,2020-11-17,2020-12-16,2.0589,2.6426,-212.08,10.0,-222.08
6,XLP,XLU,0.68678,short,2020-12-17,2020-12-18,1.6823,1.8714,0.0,10.0,-10.0
10,XLP,XLU,0.913108,short,2022-01-04,2022-02-10,2.2194,3.6023,-85.3,10.0,-95.3
10,XLP,XLU,0.913108,short,2022-02-11,2022-02-14,3.3325,3.6597,-0.0,10.0,-10.0
10,XLP,XLU,0.913108,short,2022-02-24,2022-03-18,3.1624,-0.8717,616.8,10.0,606.8
11,XLP,XLU,0.920346,short,2022-03-21,2022-03-22,-1.2881,-1.0016,-0.0,10.0,-10.0
11,XLP,XLU,0.920346,long,2022-03-30,2022-04-21,-2.1781,-0.0877,301.02,10.0,291.02
11,XLP,XLU,0.920346,long,2022-05-18,2022-05-19,-3.1849,-3.9376,-0.0,10.0,-10.0
11,XLP,XLU,0.920346,long,2022-05-26,2022-06-01,-3.1916,-3.5981,29.54,10.0,19.54
11,XLP,XLU,0.920346,long,2022-06-02,2022-06-06,-3.2102,-3.6478,-56.63,10.0,-66.63
11,XLP,XLU,0.920346,long,2022-06-08,2022-06-17,-3.3857,-0.8714,536.23,10.0,526.23
12,XLP,XLU,0.643712,long,2022-09-01,2022-09-19,-2.1265,-3.0775,-241.09,10.0,-251.09
13,XLP,XLU,0.420976,long,2022-09-20,2022-09-21,-1.9511,-1.88,0.0,10.0,-10.0
13,XLP,XLU,0.420976,long,2022-09-23,2022-10-24,-2.3162,-0.1542,459.44,10.0,449.44
15,XLP,XLU,0.447925,short,2023-04-26,2023-06-21,2.0049,1.427,160.84,10.0,150.84
16,XLP,XLU,0.328126,short,2023-06-22,2023-06-23,1.142,1.0852,0.0,10.0,-10.0
18,XLP,XLU,0.562075,short,2024-01-23,2024-02-06,2.2991,3.5083,-221.24,10.0,-231.24
18,XLP,XLU,0.562075,short,2024-02-07,2024-02-08,3.4369,3.639,-0.0,10.0,-10.0
18,XLP,XLU,0.562075,short,2024-02-09,2024-02-26,3.0227,3.7899,-70.41,10.0,-80.41
18,XLP,XLU,0.562075,short,2024-02-27,2024-03-12,3.2275,3.5274,50.63,10.0,40.63
18,XLP,XLU,0.562075,short,2024-03-13,2024-03-21,3.4573,3.5566,-4.32,10.0,-14.32
21,XLP,XLU,0.669228,long,2024-10-03,2024-12-10,-2.1786,-0.2521,358.36,10.0,348.36
0,XLP,XLV,0.643208,short,2019-07-03,2019-09-04,2.001,3.7258,-535.6,10.0,-545.6
0,XLP,XLV,0.643208,short,2019-09-05,2019-09-09,3.3784,3.5218,-14.96,10.0,-24.96
0,XLP,XLV,0.643208,short,2019-09-10,2019-09-18,3.2978,3.1324,59.54,10.0,49.54
1,XLP,XLV,0.930274,short,2019-09-19,2019-09-20,1.4613,1.2979,-0.0,10.0,-10.0
1,XLP,XLV,0.930274,short,2019-09-26,2019-11-22,2.0331,0.4146,777.34,10.0,767.34
3,XLP,XLV,0.684394,long,2020-03-20,2020-06-18,-2.03,-1.417,164.74,10.0,154.74
4,XLP,XLV,0.474389,long,2020-06-19,2020-06-22,-0.9229,-0.9555,-0.0,10.0,-10.0
6,XLP,XLV,0.858351,long,2021-01-19,2021-03-19,-2.2455,-0.8723,362.82,10.0,352.82
8,XLP,XLV,0.728004,long,2021-08-04,2021-09-17,-2.2043,-1.5762,139.84,10.0,129.84
9,XLP,XLV,0.542447,long,2021-09-20,2021-09-21,-0.6698,-0.7806,-0.0,10.0,-10.0
9,XLP,XLV,0.542447,short,2021-12-13,2021-12-16,2.0931,2.4198,-57.98,10.0,-67.98
10,XLP,XLV,0.620784,short,2021-12-17,2021-12-20,1.2124,1.4472,-0.0,10.0,-10.0
10,XLP,XLV,0.620784,short,2021-12-31,2022-01-05,2.1544,3.5868,-212.6,10.0,-222.6
10,XLP,XLV,0.620784,short,2022-01-10,2022-01-13,3.2673,3.7073,39.29,10.0,29.29
10,XLP,XLV,0.620784,short,2022-02-04,2022-02-07,3.4891,3.658,-0.0,10.0,-10.0
10,XLP,XLV,0.620784,short,2022-02-09,2022-02-11,3.3246,3.5599,10.07,10.0,0.07
10,XLP,XLV,0.620784,short,2022-02-15,2022-02-16,3.4654,3.5179,-0.0,10.0,-10.0
10,XLP,XLV,0.620784,short,2022-02-24,2022-02-25,3.1212,3.8722,-0.0,10.0,-10.0
10,XLP,XLV,0.620784,short,2022-02-28,2022-03-03,3.3705,3.5857,11.86,10.0,1.86
10,XLP,XLV,0.620784,short,2022-03-04,2022-03-18,3.4143,0.931,429.86,10.0,419.86
11,XLP,XLV,0.632437,short,2022-04-14,2022-05-18,2.1015,0.4902,-76.51,10.0,-86.51
15,XLP,XLV,0.774602,short,2023-04-27,2023-06-01,2.0736,0.3624,310.57,10.0,300.57
17,XLP,XLV,0.887817,long,2023-09-27,2023-10-06,-2.0269,-3.8647,-228.83,10.0,-238.83
17,XLP,XLV,0.887817,long,2023-10-17,2023-11-15,-3.3846,-0.4871,521.27,10.0,511.27
17,XLP,XLV,0.887817,long,2023-12-08,2023-12-19,-2.0919,-1.7523,69.62,10.0,59.62
18,XLP,XLV,0.792735,long,2023-12-20,2023-12-21,-1.2783,-1.3758,-0.0,10.0,-10.0
18,XLP,XLV,0.792735,long,2024-01-22,2024-03-21,-2.0622,-0.8913,319.39,10.0,309.39
19,XLP,XLV,0.450586,long,2024-03-22,2024-03-25,0.5178,0.4434,-0.0,10.0,-10.0
20,XLP,XLV,0.73371,short,2024-09-05,2024-09-20,2.1673,1.9545,51.13,10.0,41.13
21,XLP,XLV,0.973637,short,2024-09-23,2024-09-24,1.5698,1.5459,0.0,10.0,-10.0
21,XLP,XLV,0.973637,short,2024-10-23,2024-11-15,2.1249,3.9028,-243.07,10.0,-253.07
2,XLB,XLV,1.055134,long,2020-01-06,2020-03-06,-2.1962,-3.9979,-342.74,10.0,-352.74
3,XLB,XLV,0.653292,long,2020-04-08,2020-04-15,-3.2528,-3.9045,135.44,10.0,125.44
3,XLB,XLV,0.653292,long,2020-04-27,2020-05-06,-3.4886,-3.526,91.36,10.0,81.36
3,XLB,XLV,0.653292,long,2020-05-07,2020-05-13,-3.0852,-3.6404,-115.26,10.0,-125.26
3,XLB,XLV,0.653292,long,2020-05-15,2020-06-05,-3.4619,-0.3382,1295.76,10.0,1285.76
8,XLB,XLV,1.898271,long,2021-06-21,2021-07-06,-2.1005,-3.8387,-433.25,10.0,-443.25
11,XLB,XLV,0.477936,long,2022-06-16,2022-06-17,-2.5196,-2.5684,-14.55,10.0,-24.55
12,XLB,XLV,0.943592,long,2022-06-21,2022-06-23,-1.8624,-4.5752,-259.2,10.0,-269.2
12,XLB,XLV,0.943592,long,2022-08-10,2022-09-01,-3.0255,-3.9499,79.3,10.0,69.3
12,XLB,XLV,0.943592,long,2022-09-02,2022-09-06,-3.3818,-3.5609,0.0,10.0,-10.0
12,XLB,XLV,0.943592,long,2022-09-07,2022-09-14,-3.0231,-3.6633,-14.75,10.0,-24.75
13,XLB,XLV,1.212211,long,2022-09-22,2022-12-16,-2.0113,-1.7925,99.15,10.0,89.15
14,XLB,XLV,1.345803,long,2022-12-19,2022-12-20,-1.2529,-1.1238,-0.0,10.0,-10.0
16,XLB,XLV,1.296387,short,2023-07-12,2023-08-11,2.056,0.351,520.94,10.0,510.94
18,XLB,XLV,0.872824,long,2024-02-05,2024-02-28,-2.2395,-0.3683,414.24,10.0,404.24
19,XLB,XLV,0.888731,short,2024-04-01,2024-06-21,2.149,0.6992,353.04,10.0,343.04
20,XLB,XLV,1.042036,long,2024-09-10,2024-09-20,-2.011,-0.6839,384.62,10.0,374.62
21,XLB,XLV,0.934762,short,2024-11-18,2024-12-19,2.0805,0.5247,465.35,10.0,455.35
